title,desc,year,genre,certificate,runtime,rating,votes
Bizimcity,Add a Plot,1995–2015,"Animation, Short, Comedy",,1 min,,
Doctor Who: Dark Days,Add a Plot,2020–2022,"Animation, Adventure, Drama",,,,
Amor Amor Amor: Capitulo Uno,8 love stories. 8 short films. 8 directors.,2011,"Animation, Comedy, Drama",,,,
"Snurse: A Magical, Magical Fairytale","After discovering a sinister plan to overthrow the Kingdom, a Fizbear named Snurse must brave the Deadly Forest, Mountains of Fire, and the haunted Bone Dust Desert to save those he loves ...                See full summary »",,"Animation, Adventure, Fantasy",,,,
Kidô senshi Gandamu Yunikôn: Rapurasu no Bôrei,"The Earth Federation and ECOAS execute their assault on Palau, with the intention of rescuing Banagher and the Unicorn. Saboteurs destroy Palau's connecting bridges, while the Nahel Argama ...                See full synopsis »",2011,Animation,,,7.0,16
Gegege no Kitarô,"An animated series based on the popular Japanese series of comics by Mizuki Shigeru. Kitaro is a young ghost, the last of his family line of ghosts. With the help of his father's eye (the ...                See full summary »",1985–1988,"Animation, Action, Comedy",,,7.8,24
The Best of L.A.A.F Volume 1,The most talented and creative professionals in the world of animation converge at the Los Angeles Animation Festival. This is a compilation of the award-winning films that had played in the festival in 2019.,2020,Animation,,50 min,8.4,13
Dr. Hoop,Add a Plot,,Animation,,,,
KidCity Gaming,Add a Plot,2019–2020,Animation,,,,
Sports Cartoons,Short animations showing animals in sports situations.,1985– ,"Animation, Short, Comedy",,,7.6,150
The Roaches,"The Roaches is an animated romp about the trials and tribulations of being Roach-American; where it's a daily hustle getting food, narrowly escaping the clutches of The Exterminator and ...                See full summary »",2006– ,Animation,,30 min,8.0,20
Tortellini Western,Add a Plot,2004– ,"Animation, Comedy, Western",,3 min,,
O Mundo da Hello Kitty,The world of Hello Kitty.,2016–2019,Animation,,,,
Soeny,Join Soeny and all his friends as they find themselves in unusual and sometimes even downright insane situations. If you love funny and unusual storytelling and cute little cartoon characters then this must be the cartoon for you.,2014– ,Animation,,,,
Gaiking III,"The saga concludes as the Zelans, and Earth's transforming robot Gaiking, face off in their final battle.",2011,Animation,,120 min,7.9,23
Sushi Ninja,Add a Plot,2014– ,Animation,,,,
Mironins. La sèrie,Add a Plot,2021–2022,Animation,,,,
Mr. H.C. Andersen,Add a Plot,1950,"Animation, Biography, Drama",,62 min,,
Kiddy Grade: Maelstrom,A retelling of episodes 12-18 of the Kiddy Grade TV series.,2007,"Animation, Sci-Fi",,85 min,6.8,15
No se permiten mascotas,A boy who must fend off wacky monsters in the London apartment building where his father is the janitor.,,Animation,,,,
Magic Pony,A Russian fairytale is the starting point for this animation designed to help children learn some words in English.,1985,Animation,,55 min,,
Parts of Life,An alcoholic Lenny deals with modern life as a single dad. It takes all parts of life to understand where he is trying to go.,,"Animation, Comedy",,,,
Goodwin vs. Badwin,Add a Plot,2012– ,"Animation, Comedy",,,7.2,10
SIC TV,Add a Plot,2019– ,Animation,,,,
Sound of Joy,"Sound of Joy an Animation Film based on Swami Vivekananda's childhood stories. The film tells the story of Biley, young Swami Vivekanand and his inner strength and self-belief.",2014,Animation,,52 min,,
Go Cheeky,"Cheeky Monkey ventures out on his banana bike every day to take photos of new discoveries and beautiful sights. His best friend Juanita, welcomes everyone to come together while capturing ...                See full summary »",,"Animation, Family, Music",,,,
Hare tokidoki buta,"Eight year old Noriyasu writes and draws in his diary, discovering later that everything he writes in it comes true, even if involves talking pigs and strange adventures.",1988,"Animation, Comedy, Fantasy",,74 min,6.6,14
Tom et Sheenah,Add a Plot,1999–2000,Animation,,,,
Zecchino d'oro,Add a Plot,1959– ,"Animation, Music",,,,
Maya and Yaya,"Welcome to the playful and adventurous world of Maya and Yaya, two plasticine elephants with very different personalities. The two friends support and encourage each other while overcoming obstacles and differences.",2014,Animation,,10 min,,
The Wind in the Willows,Add a Plot,II,Animation,,,,
The Jo. B & G. Raff Show,"Jo B. and G. Raff are hosts of their very own TV show. Each day, just as their show is about to start, Jo B. realizes G. Raff is missing and Jo B. must go on adventure to find him and bring him back.",2014– ,"Animation, Family",,12 min,7.8,24
The Adventures of Ledo and Ix,The Adventures of Ledo and Ix uses the visual vocabulary of retro video games to explore the human fear of both the unknown and the known.,2011– ,Animation,,,8.8,7
Fluffy,A former disgraced animator and showrunner awakens in a world he created and must confront his inner demons alongside some colorful and cute characters - surely what could go wrong?,,"Animation, Drama, Horror",,,,
El fotoviaje de Carla,A independent fantastic short film with real image and 2D animation. Synopsis: Carla had become trapped in Super8mm film. Scientists call this phenomenon a FRAMETRAVEL.,2018,"Animation, Drama, Fantasy",,51 min,,
"Not Me, It's a Trap","A Research Scientist, Professor Whyze, and his eleven-year-old son Tommy, through their microscope observe an underworld of evil, with underhanded terrorists plotting to attack innocent ...                See full summary »",,"Animation, Family",,,,
Zendaman,Add a Plot,1979–1980,"Animation, Action, Adventure",,25 min,7.5,17
"Tobias Knopp, Abenteuer eines Junggesellen",Add a Plot,1953,Animation,,76 min,5.2,16
The Oats of Eden,"When an evil dictator places a ban on oat farming, Boris and Baldwin find themselves entangled in a scheme to overthrow an evil regime.",,Animation,,,,
"Otto, the Street Dog","""Otto is an independent and clever street dog. He lives in a wastebasket under a streetlight and dreams of big bones. Like all dogs, he needs a lot of love and attention. He gets into of ...                See full summary »",1989–1990,Animation,,7 min,,
Sevimli Emojiler 2,Add a Plot,2018,Animation,,80 min,1.2,8
Turkey Town,Gobbles can't wait for the most magical day of the year to arrive! Thanksgiving! So Gobbles invites all his best friends together for a turkey-tastic Thanksgiving sing and dance party in Turkey Town.,2018,Animation,,73 min,3.3,24
Little Alice's Storytime: Through the Looking Glass Part 2,"It's story time. Slip into the rabbit hole with little Alice and her buddies Hatter, Dormouse and Cheshire Cat as they share their favorite adventures in Wonderland. Enter a legendary world...                See full summary »",,Animation,,69 min,,
Globozone,Add a Plot,2019– ,"Animation, Comedy",,2 min,,
6-tsugo to ouma no monogatari,Add a Plot,2016– ,Animation,,,7.0,7
Enjuto Mojamuto,Add a Plot,2010– ,Animation,,,7.0,44
Tusk of London: The Cracked Man,Add a Plot,2022,"Animation, Adventure, Drama",,,,
Un rêve solaire,"Without any apparent coherence or story, this oneiric trip essentially evokes the battle between light and darkness.",2016,Animation,,63 min,7.4,46
Five Under Five Project,"A one-of-a-kind web series introducing the new genre: Slam Poetry Music Video. For the first month of each new season's release, the slam poetry competition is digitized online and raises ...                See full summary »",2016– ,"Animation, Comedy, Drama",,25 min,,
Tamayura: Sotsugyou shasin - Dai-4-bu: Ashita,The fourth and final part of the Tamayura: Graduation Photo finale movie series.,2016,"Animation, Comedy, Drama",,,7.1,23
Captain Tsubasa,Add a Plot,2018,Animation,,,,
Casa dos Youtubers,Add a Plot,2016–2018,"Animation, Adventure, Comedy",,,8.5,32
After Banishment: Memoirs of a Corpse,"The trials and tribunals of Ramses II, as a pharaoh, a husband ,and a walking talking corpse.",2023– ,"Animation, Drama, Mystery",,22 min,,
Pith Possum: Super Dynamic Possum of Tomorrow,The superhero Pith Possum and his sidekick Obediah the Wonder Raccoon fighting crime in Possum City when called by the gorilla Commissioner Stress and the monkey Lieutenant Tension,1995,"Animation, Comedy, Family",,7 min,,
Musical,"A donkey, cat, hound and rooster head to Bremen to win a big music contest and encounter foes and obstacles that test their limits and resolve.",,Animation,,90 min,,
Frondoso Edén del Corazón,"A trippy mix of live action, rotoscope animation and CGI that tells the story of Diego, a man whose idyllic life is shattered when he takes home a hideous, hungry creature that produces the...                See full summary »",,"Animation, Horror, Romance",,90 min,,
Komatsu sakyô anime gekijô,Add a Plot,1989– ,Animation,,,,
Soreike! Anpanman: Ringo bouya to minna no negai,Add a Plot,2014,Animation,,48 min,,
Ricky & Cricket,"A nice guy Ricky, a down on his luck Mexican-American actor, who starts taking control of his life with the help of Cricket - a brash, foul-mouthed guardian angel from the east side of heaven.",,"Animation, Comedy",,,,
Dead But Not Buried,Add a Plot,2012,Animation,,80 min,6.9,18
"Mamo, czy kury potrafia mówic?","A polish retelling of the 1985 film Return to Oz. A brave little girl along side her sidekick chicken, a robot and a soldier go on a adventure in a stop-motion fantasy land to overthrow the evil Troll king and bring peace to the land.",1997,"Animation, Family",,71 min,,
Vincent and Doug 2,Add a Plot,2002,Animation,,84 min,,
Soreike! Anpanman: Buruburu no takarasagashi daibouken!,Add a Plot,2017,Animation,,62 min,,
Kurohime monogatari,Add a Plot,1967,Animation,,45 min,,
Mida,"Mida is a dream therapist. She can travel in people's dreams and heal their inner fears. During a therapy session, she falls in love with a man with the same ability, but 'he' turns out to be a computer program.",2014,Animation,,88 min,1.9,18
Molly 2: Bound to the matchers,Add a Plot,2022,"Animation, Drama, History",,,,
Untitled Assassin's Creed anime,Plot unknown.,,"Animation, Action, Adventure",,,,
Los extraños presagios de León Prozak,León Prozak decides to rent his head to Mephistopheles in order to pitch him some circus acts. Each act is conceived by an artist who expresses his vision of the world through animated paintings or drawings.,2010,Animation,,65 min,7.1,25
"Pleiten, Pech und Pannen","Bankruptcies, bad luck and mishaps - films with Max Schautzer.",1986– ,"Animation, Comedy, Family",,,4.5,29
TiVo's Music Party,Add a Plot,2022– ,"Animation, Comedy, Musical",,,,
Three Shadows,A father embarks on an ambitious adventure with his son.,,Animation,,,,
Panshel,"Panshel and his friends have been brought by Pandasan, the ancient, all-knowing guru of all panda bears, due to a lack of bamboo on Earth. Pandasan gives them the ability to fly, and, to a ...                See full synopsis »",2006– ,Animation,,,7.6,13
The Dark Seas,The golden age of space piracy.,,"Animation, Adventure, Drama",,,,
Star Wars: The Idiotic Clone Trooper,"When what seemingly was the birth of just another ordinary clone trooper occurs, Plo Koon and Kit Fisto realize their horribly false observations. The Idioitc Clone Trooper springs to life ...                See full summary »",2014– ,"Animation, Action, Comedy",,,8.1,24
Orange Peel,Orange Peel sells her body to be a singer and famous.,2015,"Animation, Drama, Fantasy",,103 min,,
Kesho Fil Mareekh,Add a Plot,2022– ,Animation,,,,
Flying Squirrels,Five friends delves into the depths of Dragon City in search of a trunk that fulfills every wish. Will face the forces of the most powerful conglomerate on the planet and escape the dangers...                See full summary »,2016,Animation,,13 min,,
Marilyn (x9) is my Mother,"""In this animated twist of the classical Myth of Persephone (and Demeter), 8 ½ headed LULU DEREN, quite literally personifies the Greek ideal of perfection, but she still doesn't measure up...                See full summary »",2022,Animation,,120 min,,
Jesus: A Kingdom Without Frontiers,"Now an animated theatrical feature, this is the tale of Jesus Nazareth, the Christ and the son of God as a man, and the One whose birth is now used to count the years of history. We relive ...                See full summary »",2013,Animation,,89 min,,
The Stuff of Legend,A band of toys journey into a Dark realm to rescue their owner from the infamous Boogeyman.,,Animation,,,,
Tethered Pain,Add a Plot,,"Animation, Action, Sci-Fi",,,,
The Secret Love,Add a Plot,,"Animation, Comedy, Drama",,,,
Matatabi Movie Labo,Add a Plot,2020–2021,"Animation, Comedy",,11 min,,
Brandy & Ivy,"Based on the delightfully absurd, true stories of two real life best friends.",,Animation,,,,
Planet of Peace,Add a Plot,1969,Animation,,,,
Boule et Bill,Add a Plot,1975– ,"Animation, Family",,5 min,7.0,28
Cielo,Add a Plot,,"Animation, Adventure, Family",,,,
Chuck the Eco Duck,The continuing adventures of a conscientious duck and his efforts to help the Farm he lives on and all his animal friends.,2009– ,Animation,,6 min,,
The Little Pencil Retold,Add a Plot,2022– ,"Animation, Comedy, Sci-Fi",,,,
TV Yarou Nanana,Add a Plot,2018– ,"Animation, Short, Adventure",,3 min,6.4,9
Wilson's Silence,Wilson has not said a word in 20 years. Based on the book Wilson's Silence by Walter Isotopes.,2020,"Animation, Crime, Mystery",,82 min,7.5,120
Ray's the Dead,Add a Plot,,Animation,,,,
Griffin the Dragon,Medieval Dragon Griffin and his family try to survive after being transported into the 25th century by an evil wizard set on their destruction.,,Animation,,,,
The Bald,Add a Plot,,Animation,,,,
Hearthstone Parodies,An animated comedy series based on the popular Hearthstone: Heroes of Warcraft (2014) universe.,2016– ,"Animation, Action, Comedy",,,,
Surreabsurdia,Add a Plot,,Animation,,,,
Seikai no senki III,Add a Plot,2005– ,"Animation, Sci-Fi",,30 min,7.3,51
Eiga Kamisama miranai himitsu no kotodama: Kiseki o okose Teppuru to dokidoki kokotamakai,"After meeting a new friend, Kokoro and her cocotamas are invited to the cocotama world by the Tama elder. When their visit leads to unexpected troubles, they are asked to help save both the...                See full summary »",2017,Animation,,76 min,,
Neko Ninja,"Goromaru, a freshman ninja meets and teams up with Torao, a divine spirit with supernatural powers. They both must now fight against the ninja elders in their village with Japanese traditional drum music.",2022,"Animation, Action",,,,
Puppy Playground,Add a Plot,2020,"Animation, Family",,50 min,,
My Little Pony: Boy Apple,"The show was about six ponies five were females and one was male, the male one was Apple Jack and he was kind lovable and friendly to his friends.",2009–2010,"Animation, Adventure, Family",,22 min,,
Two by 2,Add a Plot,2020,"Animation, Family, Musical",,28 min,,
Vermination,"The Humans have vanished. Vermin must fend for themselves. Led by Walt, a goofball rat, and his team of adolescent misfits, the pack must solve the mystery.",,"Animation, Musical",,,,
Qeios,"Rivatha, Princess of Qeios, discovers the air outside is safe; the guards are lying and killing people. She joins the resistance with chirpy Woodrow, snarky dog Comet, creepy Jasper, mysterious Mrs. Whitely, and twins Audrey and Andre.",2014– ,"Animation, Comedy, Fantasy",,,,
Bumazhki,The series 'Paper Tales' tells the story of the fun adventures of paper animals in a land where everything is made of paper. The fun adventures of a moose named Aristotle and a woodpecker ...                See full summary »,2015–2016,"Animation, Short, Adventure",,5 min,5.7,17
Untitled Jack and John Film,Add a Plot,,Animation,,,,
Cath and Her Cat (Cath Et Son Chat),Add a Plot,,"Animation, Adventure, Comedy",,572 min,,
Planetar,Four martians team up to retrieve a special object that can cause social and political mayhem in the Solar System.,2015– ,"Animation, Action, Comedy",,,8.1,32
The Mummy of Anubis,Add a Plot,,"Animation, Horror, Mystery",,,,
Good Egg Bad Seed,Add a Plot,,Animation,,,,
KOAPP,A cycle of puppet animated films based on the stories of Maylen Konstantinovskiy about amazing phenomena in nature and the animal world. Each film is accompanied by documentaries.,1984–1990,Animation,,9 min,7.8,67
Anton Petrov,"Anton Petrov provides background, explanations and discussion of the latest discoveries in cosmology, astrophysics and space exploration with animated simulations to ensure the topics are ...                See full summary »",2012– ,"Documentary, Animation, News",,,,
Academy Awards Shorts Program,Add a Plot,1971,"Animation, Family",,,6.1,22
The Shazam Show,Add a Plot,2015– ,"Animation, Short, Comedy",,,,
Joe,Add a Plot,1966– ,"Family, Animation",,14 min,7.6,15
"Podi tuda, ne znayu kuda",A vile Tsar wants to get rid of his servant Sergei by sending him on various deadly missions. A comedy adventure presented as a mix of classic Russian fairy tales and narrated by two jesters.,1966,"Animation, Comedy, Family",,52 min,7.1,48
Los supersabios,"Paco and Pepe, the famous Supersabios from the comics, now appear in a cartoon movie. Determined to go to Saturn, they secretly build a space rocket. Despite their precautions, the rumor ...                See full summary »",1978,"Animation, Comedy, Family",,78 min,6.2,32
Rosie the Ribbiter,Add a Plot,II 2022– ,Animation,,,,
Revelations: Second Coming of Christ. Part 2,This movie is the second installment of Revelations: Second Coming of Christ and is based on the Book of Revelation.,,Animation,,,,
Shindyuariti,Add a Plot,,"Animation, Action, Adventure",,24 min,,
Chef Fred: The Animation,Add a Plot,2017– ,Animation,,,,
37: The Movie,Add a Plot,2021,"Animation, Comedy",,87 min,,
Dixie,Add a Plot,1981–1982,"Animation, Adventure, Family",,10 min,3.2,12
Stick-Ers,"Stick-Ers is an animated sitcom about twins John and Sam, their anxiety-ridden mother Rose, and their happy-go-lucky friend Holly. The series follows the four as they adventure through the ...                See full summary »",2021– ,"Animation, Adventure",,,,
Los sueños de Tay-Pi,Add a Plot,1952,Animation,,,,
Cogs Hollow,"Cogs Hollow is a magical place. A very secret place, although not a stones throw away from a busy motorway.",1991,"Animation, Short, Adventure",,4 min,,
Goku sayonara zetsubô sensei,The new adventures of the negative-minded teacher Nozomu Itoshiki and his class of nice but nutty students.,2008–2009,"Animation, Comedy, Drama",,,7.7,102
Seuralaisen päiväkirja,"Emilia (stage name ""Jasmin"") is a Finnish escort living in Helsinki, Finland.",2023– ,"Animation, Drama",,,,
Kinoa,Add a Plot,2016,Animation,,64 min,,
Polochon,Add a Plot,1989,"Animation, Family",,13 min,,
Traumspiel,Add a Plot,1925,Animation,,,,
Dos Pajaritos,Follows two little birds who share the same tree as they found themselves in funny situations and face extremely absurd confrontations and their consequences.,,"Animation, Comedy",,,,
Tracks to Big Adventures,"Fan series in which Thomas the Tank Engine travels around the world and meets new friends. Back on Sodor, the North Western Engines are having big adventures of their own.",2021– ,"Animation, Adventure, Family",,,,
Yasai no yôsei N.Y. salad,Add a Plot,2007– ,Animation,,5 min,8.6,6
Kid Brainiac: Amazing Microworld,"Enter Kid Brainiac's secret lab as the mini genius explores some of the coolest, yuckiest and amazing creatures on our planet, bugs. Get ready for Kid Brainiac: Amazing Microworld.",2020,Animation,,60 min,,
Kage kara mamoru!,Nerdy boy Mamoru is secretly a highly competent Ninja on a mission to protect his clumsy neighbor Yuuna.,2006– ,"Animation, Comedy, Romance",,,6.3,42
Stellaris,Add a Plot,1996–1997,"Animation, Action, Adventure",,36 min,,
Piggeldy und Frederick,The wiser pig Frederick inspires his younger brother Piggeldy to discover and learn about the world as they walk through the field.,1973–1990,"Animation, Family",,3 min,8.1,23
Jungle Show,"A group of animals comes together in this series of 26 animated ""music videos"" covering a wide variety of musical genres, including country & western, jazz, blues, punk rock, new age, ...                See full summary »",1996– ,Animation,,5 min,,
Super Supremes Zoo Song & More Videos for Kids,"A fun filled feature including the most popular animal songs like, ""We Are Going to the Zoo!"" We see daddy and mommy taking their kids to the zoo and learning all about the animals.",2019,Animation,,61 min,,
A Frozen Christmas Dance: Christmas Miracle,It's Christmas and all of Sunnyville is preparing for a wonderful holiday and non-stop dance party. What miracle will Santa perform for his friends this year? Find out in the most exciting ...                See full summary »,2021,Animation,,60 min,,
Shanshan de hongxin haizi de tiankong,"Sparkling Red Star takes place in 1937, amidst the Red Army's Long March. It stars a ten year old child named Pan Dongzi, whose life becomes quite difficult after his father is captured and subsequently rescued by the Red Army.",2007,Animation,,90 min,5.7,20
That Time I Met Mike,Add a Plot,2021– ,"Animation, Comedy",,20 min,,
Caillou and Dora: The Teenage Years,"What if Caillou and Dora were two wild, hormone-riddled, sinister teenagers in love? This animated series answers that question by putting these two through wild situations and dramatic ...                See full summary »",2015– ,"Animation, Comedy, Crime",,15 min,8.3,13
Bakegyamon,Add a Plot,2006–2007,Animation,,,6.9,17
The Adventures of Salty and Friends,"A hosted children's show with Dick Beach as ""Salty, The Clown"" and Jerry Carr as ""Captain Cotton"" screen on WSPD-TV, Channel 13 Toledo, Ohio between 1960-1967.",1960–1967,"Animation, Adventure, Comedy",,60 min,,
Sessão Desenho,Add a Plot,1991– ,Animation,,,6.0,7
Haô taiki ryû knight,Add a Plot,1994–1995,"Animation, Action, Adventure",,30 min,8.0,10
An Analog Algorithm of Very Different Things,"We pay attention to things like emotions, threats and sex. Regardless of who you are, the brain pays a great deal of attention to these questions: Can I eat it? Will it eat me? Can I mate with it? Will it mate with me?",2014,Animation,,80 min,8.0,36
Space Ghost: Cosmic Critics,Add a Plot,2020– ,Animation,,,,
Celebrechty,Add a Plot,2009–2010,Animation,,15 min,,
Michael Jackson,Add a Plot,2019– ,"Animation, Comedy, Family",,,,
Petit potam,"Pirates disrupt life in the African jungle, and a little hippo tries to save the village from this danger",1997–1998,Animation,,13 min,6.2,22
King Pingu,"It's good to be king! See Pingu pretend to be king, try to catch a big fish, bake a cake, sledge the day away and so much more in these twelve hilarious Arctic adventures!",2004,Animation,,63 min,,
Bagel Protocol,"In the 22nd century, the survivors of war, overpopulation and pollution are living in a virtual simulation, sealed away from the forgotten world outside. Here on the Quantum Bagel Network, ...                See full summary »",2020,Animation,,,,
Gargoylens gåde,Add a Plot,,"Animation, Adventure",,,,
Crypties,The animated misadventures of Count Dracula and his millennial crypt-mate Roger.,,"Animation, Comedy",,,,
Inn to the Insanity,Inn To The Insanity (or ITTI for short) is an object show in the works by creators Juicimated and LightShine. The show centers around a group of 20 object contestants staying at an Inn ...                See full summary »,2022– ,"Animation, Drama",,,,
Marvel: X-MACHINA,Add a Plot,2019,Animation,,,,
Long John,"When an ancient demon threatens the final realization of Manifest Destiny, the most powerful man in California is left with no choice but to hire a famed bounty hunter to kill the creature and save his empire",,Animation,,,,
Benny's Bee Adventures,Add a Plot,2019–2020,Animation,,,,
Little Emma,"Emma, a miniature human girl adopted by animal parents, yearns to find the truth about her human roots. But when she discovers a hidden island full of tiny humans, it's not the fairy tale ...                See full summary »",,Animation,,,,
Käytöskukka,Adventurous piglets Hinku and Vinku and their bad-tempered friend the Grand Eater teach the children how to behave.,1966–1968,"Animation, Family",,5 min,7.7,27
Funny Planet,Add a Plot,2020– ,Animation,,,,
7 Brothers,"An animated web series created by acclaimed filmmaker John Woo, (Mission Impossible 2; Face-Off). Six hundred years ago, a mighty treasure fleet set out to sail the oceans of the world. ...                See full summary »",2011– ,"Animation, Action, Thriller",,,6.0,8
Tayna Sukharevoy bashni. Charodey ravnovesiya,"Two children venture through a magical realm to restore the powers of the great wizard Jacob Bruce, who must protect the Sukharev Tower from an evil sorcerer set on conquering the world.",2015,"Animation, Fantasy, History",,76 min,5.7,36
Tamayura: Sotsugyou shasin - Dai-3-bu - Akogare,Part 3 of the Tamayura: Graduation Photo finale movie series.,2015,"Animation, Comedy, Drama",,51 min,7.2,20
Origin: A Call to Minds,"Set in the same world as Archon Defender, this film follows the quest of a young woman, Desmerelle, as she confronts Lorem to free her twin sister Phaetra from the machine.",2013,"Animation, Action, Sci-Fi",,79 min,4.8,55
Bubble Bubble Meows and the Lame-O Baby Jib,Bubble Bubble Meows and his buddies work to reverse a new fashion trend's unfortunate side effects.,2015,"Animation, Comedy, Family",,83 min,7.8,10
Tales of Siva 1,Add a Plot,2009,"Animation, Family, History",,65 min,7.2,11
Cartoon Movie,a series of shorts about stick figures doing wired and funny things.,2015–2018,"Animation, Comedy, Family",,2 min,,
Adventures of the Garden Fairies,Add a Plot,1996–2001,Animation,,,,
Fridgeport,A young mustard bottles' journey through the new and exciting world of the house hold refrigerator.,,"Animation, Comedy",,,,
Not So Random,The Not So Random series by Essence Cartoon explores the uncomfortable truths and taboos through animation. If you are looking for funny videos and animation shorts then look no farther.,2015– ,"Animation, Comedy",,,,
Animated,"Join John Jacob and his friends to not only rediscover the Spiritual Predecessor's past, but to also help keep the multiverses secure from the Glitch.exe protocol",2021– ,"Animation, Action, Comedy",,,,
Der kleine König,Add a Plot,1998–2013,Animation,,,,
Mac and Trouble,"Two cartoon cats, Mac and Trouble, enter the real world and get mixed up in cosmic adventures including battles with superheroes and a zombie war with the Graveyard King.",2021,Animation,,,,
Mother Theresa: An Animated Classic,"This film illuminates the life of, Mother Teresa, a heroine of our time. Watch the story of a selfless missionary who brought hope, love, and salvation in this high quality entertaining ...                See full summary »",2004,Animation,,90 min,6.7,9
The Perfect Khan,Add a Plot,2021,"Animation, Comedy",,,,
The Cats of Old San Juan,"Campeon, Cali, and Alfie are three kittens who live and find adventures along the great wall, El Morro, in the city of Old San Juan.",,Animation,,,,
Rookie Robot Explores the World,"Rookie Robot is a preschool program for the youngest TV audience, a fun journey through first encounters and discoveries.",2021– ,"Animation, Family",,3 min,,
The Magnanimous MOOve,Add a Plot,2016,Animation,,,,
Soviet Propaganda Capitalist Sharks and Communism's Shining Future,Add a Plot,2009,Animation,,240 min,,
Nanovor,Add a Plot,2012,Animation,,,,
Vincent and Doug: The Movie,Add a Plot,1999,Animation,,78 min,,
The Nutty Squirrels Present,The Nutty Squirrels present cartoons from around the world.,1960– ,Animation,,6 min,6.4,9
TV-magazin,Add a Plot,1961– ,"Animation, News",,55 min,,
Nogsaegjeoncha Hamos,"The Planet Terra, once called a morning star in galactic system, was so beautiful. However, Terra is now under crisis that it may disappear with big explosion in universe due to the ...                See full summary »",1997–1998,"Animation, Action, Adventure",,,8.4,9
Hack/Slash,Add a Plot,II,"Animation, Action, Horror",,,,
Luigi's Mansion 3 Playthrough with Cottrello Games,Add a Plot,2019,Animation,,,,
Ghayab Aya,Add a Plot,1986–1987,Animation,,,8.8,8
Joexian and Nate: The Movie,"After Delivering A Neon Pizza At Building Brothers' Pizza, Joexian And Nate Go To Bed Only To Wake Up And End Up In A Scary Place That Is Haunted By An Evil Stuffed Bear.",2021,"Animation, Adventure, Horror",,103 min,,
BUGTOPIA MOVIE,"A.D., Irene, Chase-Anthony and Kyla are a family of middle class ladybugs from Historic Irving Woodlands that go through the same trials and tribulations as humans, but in their world. The ...                See full summary »",,Animation,,90 min,,
Kiddy Grade: Truth Dawn,A recap of episodes 19-24 of the Kiddy Grade TV series.,2007,"Animation, Sci-Fi",,90 min,7.0,17
Quarter Century GIRL,"Quarter Century GIRL. A Sci-Fi Comedy series created in which the genius character, Erin Century invents time travel at 37 years old. She leaps back (and forth) from the Present to 25 years...                See full summary »",2016– ,"Animation, Adventure, Comedy",,,,
Stella no mahô,"Upon enrolling in high school, Tamaki Honda joins a club for making doujin games known as the SNS Club. Joined by programmer Shiina, writer Ayame, and composer Kayo, Tamaki begins working as an illustrator for the club's next game.",2016– ,"Animation, Comedy",,24 min,7.3,49
Salome and the Quest for the Forgotten City,"A teen dreamer, together with some unexpected companions, embarks on a dangerous and enchanting journey to save her family and village from an evil queen.",,Animation,,,,
Apache yakyûgun,A former baseball star who suffered a career crippling injury takes over as coach of a team of misfits in a poor village high school.,1971–1972,"Animation, Sport",,30 min,,
¡Qué vecinos tan animales!,Add a Plot,1998,Animation,,69 min,8.3,94
Jeeg il robot d'acciaio contro i mostri di roccia!: La più grande vittoria di Jeeg Robot,Add a Plot,1979,Animation,,,6.8,11
Rákosnícek a hvezdy,Add a Plot,1976– ,Animation,,,7.8,41
Life of Aesop,A full-length animated documentary on the life and death of one of the greatest story tellers to ever have lived.,,"Animation, History",,,,
Les contes du cimetière,Add a Plot,2001– ,"Animation, Horror",,,8.7,11
Gemini 8,Add a Plot,2014– ,Animation,,,7.5,31
Kiddy Grade: Ignition,A retelling of episodes 1-11 of the Kiddy Grade TV series.,2007,"Animation, Action, Adventure",,84 min,6.9,39
"Meres orgis, ena requiem gia tin Evropi","Daedalus escapes from the Labyrinth to find the ideal state, but soon he falls into tragic moments of history.",1995,Animation,,73 min,7.3,27
Korasho no Kaitei Wakuwaku Daibouken! Movie,Add a Plot,2019,"Animation, Adventure",,60 min,,
The Apostle,"After experiencing a crisis in faith, a young apostle, Andrew, seeks a meeting with The Big Man.",2016,Animation,,,,
The Spectral Realm,"When the existence of an invisible magical realm is threatened by dark forces, it is up to a fairy princess and her unassuming friends to save their world and the source of all magic from destruction.",,Animation,,,,
Prick och Fläck på fläcken,Add a Plot,2013,"Animation, Family",,53 min,5.3,16
Pet Therapy: The Animated Series,A struggling pet therapist attempts to mend his patients relationships with as he tries overcome his own personal demons.,,Animation,,,,
The Adventures of Meili,"A girl joins forces with a misfit pirate crew to rid her city of its greedy rulers and sea dragon, who is under a spell.",,Animation,,,,
Paper,A journey through history.,V,"Animation, Adventure, Drama",,,,
Super JoJo-Jojo's One Day,Add a Plot,2019,Animation,,,,
Rejendo obu duo,Add a Plot,2004– ,"Animation, Drama, Fantasy",,,4.1,51
Patrick on the Moon,"Patrick wishes to be among his fellow stars in the sky. From a combination of idiocy and explosions, Patrick propels himself into a journey on the Moon.",2020– ,Animation,,4 min,,
Da xiang lin wang zhi yi pao cheng ming,Add a Plot,2017,Animation,,,,
Doctor Who: The JetLive Era,Add a Plot,2021,"Animation, Drama, Sci-Fi",,,,
Infinity,"A few friends move into a new town together, although, as they begin to insert themselves into their new daily lives.. Something seems to be lurking in the background..",I 2022– ,Animation,,10 min,8.0,9
